7.26c,"[""Level 20 right talent changed: +16  strength -> +40%  Berserker's Blood strength as health regen."", 'Talents:']"
7.26b,"['Level 10 left talent: +15 attack damage reduced to +12.', 'Level 10 right talent: +225 health reduced to +175.', 'Level 15 left talent: 20% lifesteal reduced to 15%.', 'Level 15 right talent: +8  Burning Spear damage per second reduced to +6.', 'Level 20 left talent: +400  Life Break cast range reduced to +325.', 'Level 20 right talent: +20  strength reduced to +16.', 'Level 25 right talent: +175 attack range reduced to +150.', 'Talents:']"
7.25c,"['Level 15 right talent: +10  Burning Spear damage per second reduced to +8.', ""Reduced  Berserker's Blood max attack speed from 140/200/260/320 to 130/190/250/310."", 'Talents:']"
7.25,"[""Reduced  Berserker's Blood max attack speed from 160/220/280/340 to 140/200/260/320.""]"
7.24b,['Reduced  strength gain from 3.4 to 3.2']
7.23b,['Increased  strength gain from 3.1 to 3.4.']
7.23,"['Changed  Burning Spear health cost from a fixed 15 to 4% of current health.', "" Life Break\nLife Break's damage (on self and the target) now pierces spell immunity. [?]\nReduced slow duration from 4/5/6 to 3/4/5."", ""Life Break's damage (on self and the target) now pierces spell immunity. [?]"", 'Reduced slow duration from 4/5/6 to 3/4/5.', "" Aghanim's Scepter\nNo longer increases  Life Break target damage from 32%/38%/44% to 65% of current health.\nNo longer reduces  Life Break cooldown from 12 to 4.\nNow causes  Life Break to taunt the target for 2.5 seconds upon impact."", 'No longer increases  Life Break target damage from 32%/38%/44% to 65% of current health.', 'No longer reduces  Life Break cooldown from 12 to 4.', 'Now causes  Life Break to taunt the target for 2.5 seconds upon impact.']"
7.22d,['Increased  Inner Fire damage from 100/155/210/265 to 100/170/240/310.']
7.22c,['Increased  Life Break movement speed slow from 40%/50%/60% to 60% on each level.']
7.22,"['Increased base armor from -2 to -1.', 'Reduced  Inner Fire cooldown from 18/16/14/12 to 14/13/12/11.', ""Increased  Berserker's Blood strength as max health regen bonus from 20%/40%/60%/80% to 25%/45%/65%/85%""]"
7.21,"['Level 15 right talent: +15  Burning Spear damage per second reduced to +10.', 'Increased  strength gain from 2.7 to 3.1.', 'Reduced attack point from 0.4 to 0.3.', ""Reduced  Berserker's Blood max attack speed from 220/260/300/340 to 160/220/280/340."", 'Reduced  Life Break damage to target/self 34%/39%/44% to 32%/38%/44%.', 'Talents:']"
7.20e,"['Level 10 left talent: +20 attack damage reduced to +15.', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Replaced  Inner Vitality with  Inner Fire']"
7.19b,"['Level 10 right talent: +175 health increased to +225.', 'Reduced base attack damage from 21-30 to 19-24.', 'Talents:']"
7.17,"['Level 25 left talent changed: 0s  Inner Vitality cooldown ->  Burning Spear pure damage and pierce spell immunity.', 'Level 25 right talent: +125 attack range increased to +150.', 'Talents:']"
7.16,"['Increased base regen bonus from 10 to 12.', 'Reduced mana cost from 170 on each level to 140/150/160/170.', ' Inner Vitality\nIncreased base regen bonus from 10 to 12.\nReduced mana cost from 170 on each level to 140/150/160/170.', 'Increased  Life Break damage to target/self from 34%/38%/42% to 34%/39%/44%.']"
7.13b,"['Reduced base armor from -1 to -2.', 'Reduced movement speed from 295 to 290.']"
7.07c,['Reduced movement speed from 300 to 295.']
7.07,"['Level 10: +5  Burning Spear damage per second or +175 health', 'Level 15: 15% lifesteal or +30 attack damage', 'Level 20: +40 attack speed or +15  strength', 'Level 25: +500  Life Break cast range or +100 attack range', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Inner Vitality\nReduced default health regen bonus from 5%/10%/15%/20% to 6%/8%/10%/12% of primary attribute.\nReduced boosted health regen bonus 20%/40%/60%/80% to 22%/30%/38%/46% of primary attribute.', 'Reduced default health regen bonus from 5%/10%/15%/20% to 6%/8%/10%/12% of primary attribute.', 'Reduced boosted health regen bonus 20%/40%/60%/80% to 22%/30%/38%/46% of primary attribute.', 'Reworked talents:']"
7.06,"['Increased  strength gain from 2.4 to 2.7.', 'Reduced base health regeneration from 0.25 to 0.', ' Life Break\nIncreased leap speed from 1000 to 1200.\nRescaled damage to target/self from 35% on each level to 34%/38%/42%.', 'Increased leap speed from 1000 to 1200.', 'Rescaled damage to target/self from 35% on each level to 34%/38%/42%.']"
7.03,"['Level 25 left talent: +400  Life Break cast range increased to +500.', 'Talents:']"
7.02,"['Level 10 left talentchanged: +15 movement speed -> +5  Burning Spear damage per second.', 'Level 10 right talent: +150 health increased to +175.', 'Talents:']"
7.00,"['Level 10: +15 movement speed or +150 health', 'Level 15: 15% lifesteal or +30 attack damage', 'Level 20: +40 attack speed or +15  strength', 'Level 25: +400  Life Break cast range or +100 attack range', 'Added talents:']"
6.88e,['Reduced  Inner Vitality health threshold from 40% to 35%.']
6.87,"[""Increased  Berserker's Blood max attack speed bonus from 196/224/252/280 to 220/260/300/340.""]"
6.86,"['Bonuses are now provided linearly from full 100% to 10% health, instead of stepwise with every 7% health missing.', 'Reduced max magic resistance bonus from 42%/56%/70%/84% to 20%/30%/40%/50%.', "" Berserker's Blood\nBonuses are now provided linearly from full 100% to 10% health, instead of stepwise with every 7% health missing.\nReduced max magic resistance bonus from 42%/56%/70%/84% to 20%/30%/40%/50%.""]"
6.85,"[""Reduced  Berserker's Blood magic resistance bonus per stack from 4%/5%/6%/7% to 3%/4%/5%/6%.""]"
6.84,"['Increased cast range from 550 to 800.', 'Reduced cooldown from 25/22/19/16 to 22/18/14/10.', ' Inner Vitality\nIncreased cast range from 550 to 800.\nReduced cooldown from 25/22/19/16 to 22/18/14/10.']"
6.83,"['Increased base health regen bonus from 2/4/6/8 to 10.', 'Rescaled regen bonus when hurt from 30%/45%/60%/75% to 20%/40%/60%/80%.', ' Inner Vitality\nIncreased base health regen bonus from 2/4/6/8 to 10.\nRescaled regen bonus when hurt from 30%/45%/60%/75% to 20%/40%/60%/80%.']"
6.82,"['Reduced  Inner Vitality cooldown from 25 to 25/22/19/16.', ""Increased  Berserker's Blood attack speed bonus from 8/12/16/20 to 14/16/18/20."", ' Life Break\nReduced cooldown from 45/30/15 to 12.\nReduced damage to target from 50% to 35%.\nRescaled damage to self from 40%/35%/30% to 35%.\nRescaled Slow duration from 5 to 4/5/6.\nRescaled Slow from 50% to 40%/50%/60%.', 'Reduced cooldown from 45/30/15 to 12.', 'Reduced damage to target from 50% to 35%.', 'Rescaled damage to self from 40%/35%/30% to 35%.', 'Rescaled Slow duration from 5 to 4/5/6.', 'Rescaled Slow from 50% to 40%/50%/60%.']"
6.81,[' Burning Spear is no longer a Unique Attack Modifier.']
6.80,"['Increased  Burning Spear duration from 7 to 8.', ' Inner Vitality\nIncreased regen bonus when hurt from 15%/30%/45%/60% to 30%/45%/60%/75%.\nIncreased cast range from 450 to 550.', 'Increased regen bonus when hurt from 15%/30%/45%/60% to 30%/45%/60%/75%.', 'Increased cast range from 450 to 550.']"
6.79c,"[""Added to Captain's Mode.""]"
6.79,"['Reduced base  agility and gain from 20 + 2.4 to 15 + 1.4.', "" Berserker's Blood is now disabled by  Doom.""]"
6.78,"[""Removed from Captain's Mode."", 'Increased base  strength from 18 to 21.', 'Increased  Burning Spear damage per second from 4/8/12/16 to 5/10/15/20.', 'Increased  Life Break damage to self from 35%/30%/25% to 40%/35%/30%.', "" Berserker's Blood\nNo longer grants 2/4/6/8 attack damage per stack.\nNow grants 4%/5%/6%/7% magic resistance per stack.\nIncreased attack speed per stack from 3/6/9/12 to 8/12/16/20."", 'No longer grants 2/4/6/8 attack damage per stack.', 'Now grants 4%/5%/6%/7% magic resistance per stack.', 'Increased attack speed per stack from 3/6/9/12 to 8/12/16/20.']"
6.75,"[' Inner Vitality can now be cast on spell immune units.', 'Increased  Burning Spear duration from 6 to 7.', ""Reduced  Aghanim's Scepter upgraded  Life Break cooldown from 24/16/8 to 4.""]"
6.72c,['Reduced  Life Break cast range from 600 to 550.']
6.72,"['Removed minimum health requirement of 100 for  Burning Spear.', 'Reworked  Life Break a bit:']"
6.71,['Reduced  Life Break damage to self from 40%/33%/25% to 35%/30%/25%.']
